logLD50,sigma,n_obs,Response,Response_Unit,Endpoint,smiles,LD50_class
3.2148438480477,0.001,1,1640,mg/kg,LD50,C=C(C)C1CC=C(C)C(=O)C1,2
3.7116229369684,0.0136529326323852,2,5300,mg/kg,LD50,C=C(C)C1CC=C(C)CC1,3
2.73239375982297,0.001,1,540,mg/kg,LD50,C=C(C)CC#N,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,C=C(C)CC1CCCCCCCCCCC1=O,2
2.92839585225671,0.001,1,848,mg/kg,LD50,C=C(C)CCl,2
3.71129491992574,0.226378541878559,4,5900,mg/kg,LD50,C=C(C)[C@@H]1CC=C(C)C(=O)C1,3
3.6712113404111,0.0287586639249157,2,5000,mg/kg,LD50,C=C(C)[C@H]1CC=C(C)CC1,2
0.568201724066995,0.001,1,3.7,mg/kg,LD50,CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,0
3.62736585659273,0.001,1,4240,mg/kg,LD50,CC(=NO)C(=O)c1ccccc1,2
3.68124123737559,0.415545588654094,3,3300,mg/kg,LD50,CC(=NNC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O,2
2.72015930340596,0.001,1,525,mg/kg,LD50,CC(=NNc1nc(C)cc(C)n1)c1ccccc1C,2
2.78532983501077,0.001,1,610,mg/kg,LD50,CC(=O)C(C)(C)C,2
3.61278385671974,0.001,1,4100,mg/kg,LD50,CC(=O)C(C)=Cc1ccccc1,2
3.47712125471966,0.146780435650246,3,3400,mg/kg,LD50,CC(=O)C(C)=O,2
3.45484486000851,1.211217174194,7,2000,mg/kg,LD50,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,2
3.69897000433602,1.001,1,5000,mg/kg,LD50,CC(=O)C(N=Nc1cc(C(=O)Nc2cc(Cl)ccc2C)ccc1Cl)C(=O)Nc1cc(C)c(NC(=O)C(N=Nc2cc(C(=O)Nc3cc(Cl)ccc3C)ccc2Cl)C(C)=O)cc1C,2
3.35949152438671,0.806762399514343,4,2228,mg/kg,LD50,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1,2
3,1.001,1,1000,mg/kg,LD50,CC(=O)C1(c2ccccc2)CCN(CCCOc2ccc3c(c2)NC(=O)CC3)CC1,2
3.90308998699194,0.001,1,8000,mg/kg,LD50,CC(=O)C1(O)CCC(c2ccccc2)CC1,3
3.09691001300806,0.001,1,1250,mg/kg,LD50,CC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,CC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1Cl,2
3.45178643552429,0.001,1,2830,mg/kg,LD50,CC(=O)c1ccc(O)cc1O,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,CC(=O)c1ccc2cc(CC(=O)O)ccc2c1,2
3.22505069613805,0.001,1,1679,mg/kg,LD50,CC(=O)c1ccc2oc3ncccc3c(=O)c2c1,2
3.39794000867204,0.001,1,2500,mg/kg,LD50,CC(=O)c1ccc2c(c1)N(CCCN1CCOCC1)c1ccccc1S2,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2
3.04020662757471,0.001,1,1097,mg/kg,LD50,CC(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,2
3.73559889969818,0.001,1,5440,mg/kg,LD50,CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2,3
3.2718416065365,0.001,1,1870,mg/kg,LD50,CC(=O)c1cccc(N)c1,2
3.35793484700045,0.001,1,2280,mg/kg,LD50,CC(=O)c1ccccn1,2
3.20682587603185,0.001,1,1610,mg/kg,LD50,CC(=O)C1OC1(C)C,2
3.66181268553726,0.001,1,4590,mg/kg,LD50,CC(=O)C=CC1=C(C)CCCC1(C)C,2
3.34830486304816,0.001,1,2230,mg/kg,LD50,CC(=O)C=Cc1ccc(-c2ccccc2)cc1,2
